Gene	log2(MB231_day21)-log2(MB231_day7)	log2(LM2_day21)-log2(LM2_day7)
CCNL2	-0.206012848	-1.122839059
CCNO	-0.288306848	-1.608632868
CCNT1	-0.276858522	-1.692599184
CCNT2	-0.321453677	-0.406225334
CCNY	0.254251104	0.024803046
CCNYL1	-0.672132737	-0.426738439
CCPG1	-0.225327945	-0.090178968
CCR1	-1.360816081	-1.323022438
CCR10	-0.511927679	-2.07000052
CCR2	0.365845267	-0.504956831
CCR3	-0.424696394	-0.089631048
CCR4	-0.495361804	-1.203603764
CCR5	-0.549072496	-0.44067486
CCR6	0.130291423	-0.855353822
CCR7	-0.260155628	-0.66518478
CCR8	-0.20467428	-0.180370922
CCR9	-0.21762589	0.052465555
CCRL1	0.071153927	-1.471668426
CCRL2	-0.82298367	-0.112793658
CCRN4L	-0.97121135	-0.261155196
CCS	-0.427521817	-1.174563425
CCT2	-0.832340294	-0.148012374
CCT3	-0.750977752	-1.313359759
CCT4	-0.807887489	-2.857162204
CCT5	-0.651512266	-1.132933806
CCT6A	-1.776417338	-2.581923056
CCT6B	0.055071114	-1.232574757
CCT7	-0.481458463	-0.131232414
CCT8	-0.962913436	-1.290344153
CCT8L2	-0.743973818	-0.579389924
CD101	-0.247481162	-0.058373317
CD109	-0.876120228	-0.638423708
CD14	-0.2955985	-0.702581823
CD151	-0.372522477	0.340060768
CD160	-0.655137925	-1.428338575
CD163	0.022959371	-0.96380769
CD163L1	-0.244057629	-0.811576594
CD164	0.193879128	-0.974553373
CD164L2	0.223135332	-0.635655941
CD177	-0.41755026	-0.570272102
CD180	-0.232007798	0.343200557
CD19	-0.003708311	0.034181258
CD1A	0.057921404	-1.16397473
CD1B	0.177884236	0.156420994
CD1C	-0.18907556	-0.567354622
CD1D	-0.203396406	-1.10004727
CD1E	-0.257076645	-0.869741567
CD2	-0.288599277	-0.420458158
CD200	-0.29564849	-0.879751201
CD200R1	-0.183098736	-0.669172971
CD200R1L	-0.482463611	-0.989271791
CD207	-0.677699595	-1.028241901
CD209	-0.019051463	-0.154859236
CD22	-0.878329995	-0.1287806
CD226	-1.930502106	-2.12173741
CD24	0.391876658	-0.589588699
CD244	0.053620779	-0.835825828
CD247	-0.333974164	-0.929167729
CD248	-0.387109475	-1.502858704
CD27	-0.207754391	-0.462016108
CD274	-0.463280853	-1.951755185
CD276	0.459953627	-0.893004573
CD28	-0.385203483	-0.457143931
CD2AP	-0.285577602	-0.664886465
CD2BP2	-0.273680402	-0.581737661
CD300A	0.198351302	-1.122698052
CD300C	-0.311378617	-1.194562157
CD300LD	0.130239007	-3.010200207
CD300LF	-0.265918611	-0.465921574
CD300LG	-0.851827736	-1.060595404
CD302	-0.35549835	-0.178659612
CD320	-0.338497739	-1.252485882
CD33	-0.901927224	-2.459818138
CD34	-0.510083656	-1.628211704
CD36	-0.007333224	-0.140053073
CD37	-0.172637494	-1.455181374
CD38	-0.318553527	-0.462474231
CD3D	-0.29004926	-1.434819507
CD3E	-0.31804449	-1.296797676
CD3EAP	-0.633936306	0.426208213
CD3G	0.127122526	-0.810046089
CD4	0.017883095	-1.943066794
CD40	-0.29111547	-0.366542292
CD40LG	-0.263334888	-2.305247701
CD44	-0.919207192	-2.213084196
CD46	-0.332020172	0.554999816
CD47	-0.112546396	-0.275303546
CD48	-0.38067435	-0.88411273
CD5	-0.32226292	-0.72512345
CD52	-0.027697979	-0.724627459
CD53	-0.502855458	-0.775481243
CD55	0.113230141	-0.539110106
CD58	-0.419296755	-1.273557936
CD59	-0.163421352	-0.564697553
CD5L	-0.014958528	-0.044304452
CD6	-0.552938503	-1.518141823
CD63	-0.825786086	-0.798140051
CD68	-0.301921725	-0.763949254
CD69	-0.093420758	-0.762681686
CD7	0.082231619	-0.155291568
CD70	-0.34223639	-1.210590747
CD72	-0.182108343	-1.517516563
CD74	-0.270500079	-0.876959124
CD79A	-0.113121656	-0.878216272
CD79B	-0.617493469	-0.824172288
CD80	-0.692676757	-0.768709212
CD81	0.295607009	-0.384302108
CD82	0.272720814	-0.021142402
CD83	0.163904625	-0.995378386
CD84	-0.422934446	-0.572722077
CD86	-0.097913798	-1.74926321
CD8A	-0.441869731	-1.161111384
CD8B	0.103293153	-0.811327659
CD9	-0.478406478	-0.934590386
CD93	0.238467496	-0.509069557
CD96	-0.158530094	-0.56612105
CD97	-0.019042227	-0.115727211
CD99L2	-0.330178025	-0.349598934
CDA	0.256575465	-1.6624994
CDADC1	-0.376419786	-1.246552801
CDAN1	-0.640209187	-1.945074688
CDC123	-1.033397536	-0.92366736
CDC14A	-0.610380321	-0.109427774
CDC14B	-0.316968029	-0.685760548
CDC16	-1.411971254	-1.229532348
CDC20	-2.110026967	-2.109264996
CDC20B	-0.059675847	-1.280898012
CDC23	-1.294489225	-2.632379875
CDC25A	-0.958125276	-1.537110594
CDC25B	-0.737169248	-0.931808986
CDC25C	-0.226750231	0.000100487
CDC26	-0.658101347	-1.920996439
CDC27	-0.457534249	-1.246081355
CDC34	-0.132958454	-0.574442326
CDC37	-0.553304586	-1.858511762
CDC37L1	-0.078904685	-0.001843469
CDC40	0.092865173	-0.731054086
CDC42	-0.674802603	-1.134218679
CDC42BPA	0.130158296	0.690527707
CDC42BPB	-0.112415337	-0.648277018
CDC42BPG	0.266456591	-0.992346948
CDC42EP1	-0.199471146	-0.786496853
CDC42EP2	-0.220037732	0.084047484
CDC42EP3	-0.098279297	-0.580551622
CDC42EP4	-0.006029709	-0.453776715
CDC42EP5	0.310497463	-0.365112044
CDC42SE1	-0.333912207	-0.246554785
CDC42SE2	-0.322090633	-0.929252314
CDC45	-0.929915927	-1.977553934
CDC5L	-0.794082654	-1.630793029
CDC6	-0.102164944	-0.685817023
CDC7	-1.126043329	-1.397122166
CDC73	-1.275336202	-1.410549217
CDCA2	-0.164917746	-1.923327945
CDCA3	0.304795249	-1.15469446
CDCA4	-0.134589191	-0.438126505
CDCA5	-0.672029077	-2.614026784
CDCA7	-0.162725929	-0.247720139
CDCA7L	0.107070226	-0.502059966
CDCA8	-2.285162084	-0.853027863
CDCP1	-0.417078513	-0.391705513
CDCP2	-0.113626238	-0.682824269
CDH1	-0.319986316	-0.497130367
CDH10	-0.205269662	-0.52944535
CDH11	-0.13738083	-1.38986885
CDH12	-0.246329276	-0.629099728
CDH13	-0.035904022	0.001844242
CDH15	-0.056920557	-0.674797307
CDH16	0.150231084	0.287061983
CDH17	-0.33513038	-0.392698216
CDH18	-0.020659883	-0.254336858
CDH19	-0.755443012	-0.818592497
CDH2	-0.256744874	-0.337551261
CDH20	-0.022039604	-0.208305306
CDH22	-0.457221355	-0.420022095
CDH23	-0.012144025	-0.154540503
CDH24	-0.293267616	-0.684252874
CDH26	-0.013352145	-1.223682147
CDH3	-0.807732585	-0.437073453
CDH4	-0.905868412	-1.632101731
CDH5	0.083691684	-1.715675332
CDH6	-0.34788311	-0.971820558
CDH7	-0.228841533	-0.447385274
CDH8	-0.540704504	-1.1582013
CDH9	0.241823232	-1.33100607
CDHR1	-0.15968932	-0.698992845
CDHR2	-0.372109225	-1.102386778
CDHR3	-0.08846527	0.199824923
CDHR4	-0.587669306	-2.843840544
CDHR5	-0.527958963	-0.698563153
CDIPT	-1.109857396	-0.1439289
CDK1	-0.631369392	-1.333345862
CDK10	-0.386025465	0.004549987
CDK11A	-0.217992838	-0.227889547
CDK11B	-1.477698185	-2.270857869
CDK12	-1.117431552	-1.274198179
CDK13	-0.083390381	-0.389497294
CDK14	0.118654226	-0.66379654
CDK15	-0.182209894	0.08640411
CDK16	-0.438798128	-1.467509886
CDK17	-0.262325024	-0.948707726
CDK18	-0.319539186	-0.433027597
CDK19	-0.340618761	-0.332473581
CDK2	-1.25606479	-0.734240643
CDK20	-1.230791794	-1.794961285
CDK2AP1	-0.429661087	-0.703816371
CDK2AP2	-0.168175245	-0.490080254
CDK3	-0.416735828	-0.989416349
CDK4	-0.732996968	-0.965773106
CDK5	-0.615320511	-0.81980028
CDK5R1	-0.464675887	-1.245834298
CDK5R2	-0.425451402	-0.030702193
CDK5RAP1	-0.435908448	-1.294405644
CDK5RAP2	0.022075202	-0.512472497
CDK5RAP3	-0.806696733	-1.087373831
CDK6	-0.097893271	-0.84524001
CDK7	-0.515402074	-1.191855591
CDK8	0.333899585	-0.199799032
CDK9	-0.933990598	-2.097110656
CDKAL1	0.333732953	-0.279332943
CDKL1	-1.042992927	-0.900806124
CDKL2	-0.402454604	-1.052551113
CDKL3	-0.448913398	-0.817708383
CDKL4	-0.157034669	-1.163584256
CDKL5	-0.0234122	-0.488959566
CDKN1A	-0.435924746	-1.022307156
CDKN1B	-0.669822078	-1.02099888
CDKN1C	-0.166588539	-0.678105908
CDKN2A	-0.305936644	-0.450971636
CDKN2AIP	-0.837506554	-0.680638518
CDKN2AIPNL	0.142467932	-1.987130097
CDKN2B	0.202927839	0.213767312
CDKN2C	0.34705595	-1.870493114
CDKN2D	-0.350199767	1.003482184
CDKN3	-0.318994839	-0.006508787
CDNF	-0.307939323	-0.795375942
CDO1	-0.491429766	-0.525193442
CDON	-0.070565714	-0.404027128
CDR1	0.072090262	-0.893715256
CDR2	-0.225690818	-1.883276911
CDR2L	-0.094158183	-0.163618443
CDRT1	-0.031914592	-2.673038557
CDRT15	-0.612879113	0.094209823
CDS1	-0.068305243	-0.601094826
CDS2	-0.568145709	-0.838440474
CDSN	-0.242161148	-1.238692638
CDT1	-0.600789101	-3.829892316
CDV3	0.133332096	0.408314168
CDX1	-0.502880417	-0.208286662
CDX2	-0.463720915	-1.90059271
CDX4	-0.445047025	-0.895596111
CDY1	-0.320509699	0.097341277
CDY1B	0.554975493	0.266389446
CDY2B	0.237490448	-0.145850866
CDYL	0.154294257	-0.449708725
CDYL2	-0.371345083	-0.311922232
CEACAM1	-0.287814604	-0.442476349
CEACAM16	-0.380192191	-1.405877015
CEACAM19	-1.019914754	-0.176231071
CEACAM20	-0.410394809	-0.949569947
CEACAM21	0.2874562	-0.225690041
CEACAM3	-0.44746008	-0.775739005
CEACAM4	-0.519539884	-0.88603955
CEACAM5	0.076364836	-0.486856222
CEACAM6	-0.103249423	0.234207587
CEACAM7	-0.726759865	-1.499001859
CEACAM8	-0.155823328	-0.094637643
CEBPA	-0.255877103	-0.17392484
CEBPB	-0.745471126	-1.650948672
CEBPD	-0.16426959	-1.344560444
CEBPE	-0.600608993	-0.482438586
CEBPG	-0.362300541	-0.205030765
CEBPZ	-0.59814004	-1.608155598
CECR1	-0.057692268	-0.624563365
CECR2	-0.37722988	-2.316443819
CECR5	-0.669706372	-0.991192044
CECR6	-0.342964301	-0.575902922
CEL	-0.528747733	-0.952305016
CELA1	-0.242740906	-1.430522744
CELA2A	-0.505237805	-1.308113353
CELA2B	0.061567943	-0.458269586
CELA3A	-0.15652804	-0.515517984
CELA3B	-0.259183378	-0.513243592
CELF1	-0.511493219	0.194137558
CELF2	-0.000984628	-1.135023814
CELF3	0.016102898	-1.494329566
CELF4	0.183524814	-0.061142921
CELF5	-0.255532075	-0.255709723
CELF6	-0.520904467	-1.712130369
CELSR1	-0.166483109	-0.681485965
CELSR2	-0.948068709	-0.433753195
CELSR3	0.199566579	0.06769469
CEMP1	-0.037332469	-0.243552571
CEND1	-0.530077982	-0.999462799
CENPA	-0.848912301	-0.64884456
CENPB	0.117119984	-0.664662644
CENPBD1	-0.084680471	-0.106968875
CENPC1	-0.684357277	-0.3106815
CENPE	-1.289704615	-1.159385832
CENPF	-0.885811411	-3.085760358
CENPH	-1.617505874	-1.805892484
CENPI	-0.953164926	-1.485703243
CENPJ	-0.601652458	-0.444039702
CENPK	-1.836440503	-1.640641371
CENPL	-0.920220481	-1.810213535
CENPM	-0.880468077	-0.743047441
CENPN	-0.454348742	-0.445008657
CENPO	-0.249435924	0.669764874
CENPP	-0.413578092	-0.897103916
CENPQ	-0.198321963	-1.176373018
CENPT	-1.063200373	-0.586204696
CENPV	-0.182189162	-1.630864227
CENPW	-0.794829532	-2.073827797
CEP120	-0.628540991	-1.53968367
CEP135	-0.239521809	-1.603638671
CEP152	-0.823532114	0.443255609
CEP164	-0.091215973	-0.277344298
CEP170	-0.003378163	-0.410753308
CEP192	-0.648074067	-0.717478904
CEP250	-0.132470415	-1.70932215
CEP290	-0.366923302	-2.596574998
CEP350	-0.700412274	-1.170805341
CEP55	-0.099751189	-0.325538126
CEP57	-0.29570115	-0.270859824
CEP63	0.451441807	-0.521488889
CEP68	-0.116412852	-0.863372739
CEP70	-0.031353067	0.139592379
CEP72	-0.301526828	0.147073226
CEP76	0.206259781	-0.938727287
CEP78	-0.093903026	-0.152395951
CEP97	-1.441327193	-2.641146392
CEPT1	-0.364802359	-1.025730268
CER1	-0.102006293	-1.270135471
CERCAM	0.01883924	-0.418385475
CERK	-0.626189217	-0.062979547
CERKL	0.282533579	-1.429767179
CES1	-0.391907972	-1.559533573
CES2	-0.416314894	-1.448089523
CES3	-0.007836852	-0.399468573
CETN1	0.108298043	-0.476105976
CETN2	-0.010616609	-0.553902872
CETN3	-0.362064172	0.078332348
CETP	-0.267282677	-0.721428709
CFB	-0.375729598	-0.163213526
CFC1B	0.184764389	-0.794708379
CFD	-0.305481191	0.303481032
CFDP1	-0.943279813	-0.344993105
CFH	-0.090864548	-0.335067846
CFHR1	-0.145454477	-0.575645041
CFHR2	-0.354544596	-0.953909
CFHR3	-1.029406521	-3.900596514
CFHR4	-0.482741252	-1.209585473
CFHR5	-0.799264086	0.034950321
CFI	-0.235289399	-0.491877879
CFL1	-1.081664761	-1.1179213
CFL2	-0.230887199	-0.499492481
CFLAR	-0.460536835	-1.010534696
CFP	1.497685993	-2.450291392
CFTR	0.276859852	-0.251986855
CGA	-0.162765943	-0.736995765
CGB1	-0.015912771	-1.083179691
CGGBP1	-0.545679504	-0.976785021
CGN	-0.623586054	1.167641619
CGNL1	-0.351817633	-0.424326431
CGREF1	0.095024621	-0.682465331
CGRRF1	-0.261786459	-0.981318029
CH25H	-0.77813551	-0.937904299
CHAC1	-0.240003333	-0.105164024
CHAC2	-0.220340192	-0.782299719
CHAD	-0.392686164	-0.056345195
CHADL	-0.282394444	-0.918586774
CHAF1A	-0.287569311	-1.250481581
CHAF1B	-1.104688562	-1.274281581
CHAT	-0.018577124	0.067247688
CHCHD1	-0.149632894	-0.478783809
CHCHD10	-0.468888522	-0.17870391
CHCHD2	-0.346503039	-1.989926227
CHCHD3	0.088481669	-0.496259899
CHCHD4	-0.48508723	-0.331825911
CHCHD5	-0.904768802	-2.133646948
CHCHD6	-0.196688437	-0.399750875
CHCHD7	-0.208925313	-0.689893109
CHD1	-0.120468453	-0.798298954
CHD1L	0.162024847	-1.577616354
CHD2	-0.229986443	-0.411886669
CHD3	-0.200171831	-1.501179328
CHD4	-1.061968617	-1.665147259
CHD5	-0.404199252	-1.330485681
CHD6	0.118570524	-1.071982924
CHD7	-0.420520405	-0.425871437
CHD8	-0.869374864	-0.017661177
CHD9	-0.102685196	-0.236817109
CHDH	0.175065275	-0.634464982
CHEK1	-0.875056708	-1.167349729
CHEK2	-0.215507985	-0.775487679
CHERP	-1.018151004	-1.129107772
CHFR	0.086788582	-0.491376017
CHGA	-0.044246415	0.3018935
CHGB	-0.080461643	-0.51883279
CHI3L1	-0.0077911	-0.055796518
CHI3L2	-0.652883573	-0.854428975
CHIA	-0.426167947	-1.023348285
CHIC1	-0.527132256	-0.960684544
CHIC2	0.04759103	-3.753220389
CHID1	0.079991299	-0.487696731
CHIT1	-0.050522747	-0.236847787
CHKA	-0.381962026	-1.193164155
CHKB	-0.61963826	0.439115901
CHL1	-0.2373339	-0.806425048
CHM	-1.149420058	-1.794280317
CHML	-0.288485528	0.650287242
CHMP1A	-0.660256489	-0.477296088
CHMP1B	-0.663745892	-1.93487922
CHMP2A	-1.583579935	-1.269026419
CHMP2B	-0.137472762	-0.722250584
CHMP4A	-0.343336661	-1.786428347
CHMP4B	-0.164945436	-2.011092634
CHMP4C	-0.178436771	-0.666616021
CHMP5	-1.299211559	-1.009439602
CHMP6	-0.958785838	-1.578619113
CHMP7	-0.798460485	-1.804916792
CHN1	-0.714948694	-0.296650031
CHN2	-0.319913513	-1.075364175
CHODL	0.109854679	0.652261184
CHORDC1	-0.165273553	-2.528803013
CHP2	-0.177452037	-0.75254979
CHPF	-0.101547812	0.014914725
CHPF2	-0.16779829	-1.40745339
CHPT1	0.399768443	-0.607460828
CHRAC1	-0.522045288	-1.128910178
CHRD	0.047895138	-0.619777554
CHRDL1	0.109721025	-0.954584491
CHRDL2	0.086929561	-1.248931279
CHRFAM7A	-0.021470462	-0.334236559
CHRM1	-0.55214864	-0.800392906
CHRM2	-0.283372192	-0.488644926
CHRM3	0.322731955	-0.694859385
CHRM4	-0.051886499	0.145773795
CHRM5	0.172286432	0.478189508
CHRNA1	-0.536021632	-1.01101947
CHRNA10	0.174269314	-0.415745279
CHRNA2	-0.05817027	-0.222189062
CHRNA3	0.052333773	-0.259983612
CHRNA4	-0.508975464	-1.009706565
CHRNA5	-0.078245645	-0.813679985
CHRNA6	0.128883222	0.053780539
CHRNA7	0.12998947	0.284453389
CHRNA9	0.307789864	-0.603219348
CHRNB1	0.099446155	-0.108245542
CHRNB2	-0.54333664	-0.992736715
CHRNB3	-0.233707218	-0.628217185
CHRNB4	-0.686222426	-1.13103572
CHRND	-0.242683698	-1.258986472
CHRNE	-0.258014246	-0.786476875
CHRNG	-0.550605242	-0.517011393
CHST1	-0.37440426	-1.120451078
CHST10	-0.718404412	-0.431482116
CHST11	-0.880164829	-0.964132815
CHST12	0.240298157	-0.029428354
CHST13	-0.968027121	-0.777273011
CHST14	-0.453905737	-0.785888843
CHST15	0.222866744	-1.438986966
CHST2	-0.264561033	-0.833165087
CHST3	-0.165620993	0.093422695
CHST4	-0.26555768	0.070674987
CHST5	0.194050094	-0.775219798
CHST6	0.060607085	-1.317351807
CHST7	-0.424469735	-0.607870741
CHST8	-0.175115787	0.037386669
CHST9	-0.028884163	-0.435359792
CHSY1	0.363621531	0.19638612
CHSY3	-0.083817432	-0.746155581
CHTF18	-0.783008456	-0.719271292
CHTF8	-0.432240311	-0.746442069
CHUK	-0.200905033	-1.775112038
CHURC1	-0.353935789	-0.816826317
CIAO1	-1.65837473	-2.260583077
CIAPIN1	-1.570885562	-0.68882458
CIB1	-0.218527343	0.485693447
CIB2	-0.095709754	-1.974796902
CIB3	-0.433111865	-0.249359132
CIB4	-0.279724453	-0.057850975
CIC	-0.190730696	-0.283060678
CIDEA	-0.015201428	-0.906372062
CIDEB	-0.052485816	-0.540970758
CIDEC	-0.115273751	-1.453375035
CIITA	-0.013973766	-0.358435935
CILP	0.002870857	0.12933946
CILP2	-0.590532687	-1.392572269
CINP	-0.571513343	-1.478835036
CIR1	-0.389895942	-0.441587604
CIRBP	-0.723602535	-1.505251877
CIRH1A	-0.254629975	-0.542076304
CISD1	-0.167662649	-1.153587438
CISD2	-0.447476435	-0.499304749
CISD3	-0.063146614	-0.169142694
CISH	-0.233550333	-0.026256441
CIT	-0.297633506	-0.386488471
CITED1	-0.074020484	-1.156009719
CITED2	-0.257873925	-0.588110207
CITED4	-0.231439404	-0.075054649
CIZ1	-0.964508888	-0.642557611
CKAP2	-1.095302499	-0.562548272
CKAP2L	-0.977165818	-0.798604677
CKAP4	-0.41126299	-0.511320339
CKAP5	-0.622655106	-1.058578895
CKB	-0.201230585	-1.841151834
CKLF	0.5089723	-3.072478833
CKM	0.062058438	-1.193191618
CKMT1A	-0.244609692	-0.851305678
CKMT1B	-0.263743563	-0.233568136
CKMT2	-0.226091967	-1.095158034
CKS1B	-0.290549241	-0.752980258
CKS2	-0.42679184	-1.28957718
CLASP1	-0.04857177	-0.416678792
CLASP2	0.207891937	0.218739642
CLC	-0.560391662	-1.089475102
CLCA1	-0.319568843	0.228725736
CLCA2	0.084832992	-0.236311109
CLCA4	-0.171802961	-2.194630516
CLCC1	0.389578192	0.246272499
CLCF1	-0.573743762	-1.125603766
CLCN1	0.210039956	-0.040718814
CLCN2	-0.819961601	0.789669189
CLCN3	0.371979514	-0.020693353
CLCN4	-0.224109748	-0.097966597
CLCN5	-0.052538598	-0.412493313
CLCN6	-0.02710154	-0.76168547
CLCN7	-0.796123998	-1.305408057
CLCNKA	-1.007556218	-1.299112605
CLCNKB	-0.236203706	-1.098528781
CLDN1	-0.007722286	-0.847667053
CLDN10	-0.121217559	-0.484469621
CLDN11	0.231134994	-0.190668246
CLDN12	0.071171031	-0.931660912
CLDN14	-0.20937603	-1.482716226
CLDN15	-0.255947713	-1.035531414
CLDN16	-0.17994059	-0.710075833
CLDN17	-0.037664933	-0.34376831
CLDN18	-0.470644008	0.253842682
CLDN19	0.276672524	-0.631787619
CLDN2	-0.029263434	-0.440228102
CLDN20	-1.070050548	-0.395827687
CLDN22	-0.346569384	-0.745726492
CLDN23	0.134251707	-1.936290623
CLDN25	-0.382367337	-0.667507021
CLDN3	0.095170696	-0.422523247
CLDN4	0.115449767	-0.534334785
CLDN5	-0.209717738	-0.571032442
CLDN6	-0.379815533	-0.84646895
CLDN7	-0.162812729	-0.244211117
CLDN8	0.072770516	0.251121083
CLDN9	-0.312890761	-0.893312604
CLDND1	-0.137831778	-0.815411802
CLDND2	-1.005942031	-0.049842074
CLEC10A	-0.369158126	-1.425650356
CLEC11A	-0.181118942	-0.97937969
CLEC12A	-0.146837977	-0.254957446
CLEC12B	-0.386771252	-0.515906726
CLEC14A	-0.202528555	-0.458937611
CLEC16A	-0.671350165	-1.069304538
CLEC17A	-0.087440152	-0.467693894
CLEC18A	-0.390085082	-1.239936528
CLEC18B	-0.049106507	-0.382361402
CLEC18C	-0.622450833	-0.90598884
CLEC1A	-0.219699837	-1.027376351
CLEC1B	-0.631612329	-3.167012998
CLEC2A	-0.229799946	-0.265513728
CLEC2B	-0.119418673	-0.734283282
CLEC2D	-0.358062211	-1.573764863
CLEC2L	-0.625950143	0.58954905
CLEC3A	-0.328188435	0.008906385
CLEC3B	-0.360269612	-0.406456597
CLEC4A	0.586146448	-0.656023409
CLEC4C	-0.107762412	-1.635021553
CLEC4D	-0.156344101	-1.129640601
CLEC4E	-0.052639708	-0.115997718
CLEC4F	-0.437074374	-1.503841745
CLEC4G	-0.240066971	-0.492504335
CLEC4M	-0.011515294	-1.861196141
CLEC5A	-0.084514212	-0.365086544
CLEC6A	0.181655162	-2.652322176
CLEC7A	0.229896633	-1.132885731
CLEC9A	-0.13294978	-0.29875568
CLECL1	-0.465482664	-0.939773419
CLGN	-0.080985945	-0.321761161
CLIC1	-0.990020815	0.062190007
CLIC2	0.427394162	0.061520072
CLIC3	0.026748742	-0.261534852
CLIC4	0.048576975	-0.626865709
CLIC5	-0.676116019	-1.091562973
CLIC6	0.01399879	-0.499315251
CLINT1	-0.117596333	0.323685688
CLIP1	0.159230707	-0.618094808
CLIP2	-0.154376334	0.03318735
CLIP3	-0.108958216	-1.122532058
CLIP4	-0.143670045	-1.124860441
CLK1	-0.59612564	-0.649126966
CLK2	-0.278324846	-0.469887399
CLK3	-0.174883222	0.192679654
CLK4	-0.709791994	1.202257959
CLLU1OS	0.167505339	-0.706499342
CLMN	-0.047749974	0.280159408
CLN3	-0.101220068	-0.706304516
CLN5	-0.335020912	-0.416625481
CLN6	-0.281000912	-0.455147023
CLN8	0.473025337	-0.45611436
CLNK	-0.131709142	0.300495057
CLNS1A	-0.554139977	-3.043885076
CLOCK	-0.655569425	-1.340786687
CLP1	-1.288275908	-2.342787443
CLPB	0.48468845	-0.537312326
CLPP	-0.807267213	-1.855278954
CLPS	-0.588431706	0.161130142
CLPTM1	-0.079604772	-0.933604936
CLPTM1L	-0.276742165	-0.800160628
CLPX	-0.874753489	-2.094887881
CLRN1	0.19302827	-0.127207323
CLRN2	-0.178453322	-0.51951903
CLRN3	0.156128658	-1.216495907
CLSPN	-0.437841623	-1.225355091
CLSTN1	-0.256899306	-0.191414441
CLSTN2	-0.161989923	-1.094439761
CLSTN3	-0.057880058	0.46300974
CLTA	-0.311211991	-1.019906799
CLTB	-0.474817372	0.126448783
CLTC	-0.897533225	-1.341381324
CLTCL1	-0.343341234	-0.886165984
CLU	0.045482364	-0.142994275
CLUAP1	0.133016736	-1.343025783
CLUL1	0.118289564	-0.856172304
CLVS1	-0.302097028	0.093623278
CLVS2	-0.038331002	-0.391208445
CLYBL	-0.485984618	0.27878925
CMA1	0.139950522	-0.104285737
CMAS	-0.599417787	-0.691847312
CMBL	-0.221846601	-0.258912922
CMC1	-0.465301471	-0.906924913
CMIP	-1.332233954	-1.513740499
CMKLR1	-0.276166382	-0.597409483
CMPK1	-0.875315542	-1.248895866
CMPK2	-0.34937061	-0.92596493
CMTM1	-0.184012689	-1.264492054
CMTM2	-0.066934444	-0.728847737
CMTM3	-1.352982112	-0.989608926
CMTM4	0.17123868	-1.360414085
CMTM5	-0.122581377	-0.562892534
CMTM6	-0.08977374	-0.164015367
CMTM7	0.402379431	-0.493962526
CMTM8	-0.045273025	-1.212079141
CMYA5	0.454607507	2.087922584
CNBD1	-0.201266223	0.04551069
CNBP	0.052476978	-0.644245392
CNDP1	0.06001088	-0.574449633
CNDP2	0.17065654	-0.064941682
CNFN	-0.154311924	-0.739910849
CNGA1	0.102526987	-0.23919827
CNGA2	0.354394532	-0.337094389
CNGA3	-0.038003007	-0.28414531
CNGA4	0.062969111	-0.685344577
CNGB1	0.210076426	-0.747807748
CNGB3	0.151153239	-0.787267793
CNIH	0.031375813	-0.499531753
CNIH2	-0.552999244	-0.60094356
CNIH3	-0.05536492	-1.052013043
CNIH4	0.211520788	-0.581540087
CNKSR1	0.205711083	-1.584496903
CNKSR2	-0.186506309	-1.340561059
CNKSR3	-1.102302402	-0.432816958
CNN1	-0.373317757	-0.823467141
CNN2	-0.375784304	-0.302038993
CNN3	-0.592872091	-0.804585386
CNNM1	-0.414968295	-0.74758144
CNNM2	-0.266443328	-0.656722783
CNNM3	-0.902599765	-1.033017588
CNNM4	-1.059338008	0.237319008
CNOT1	-0.762657742	-1.335941651
CNOT10	0.174678876	-0.853514573
CNOT2	-1.840643573	-0.882164766
CNOT3	-2.206076659	-3.247551234
CNOT4	-0.871692298	-0.511538906
CNOT6	-0.245532002	-0.002296231
CNOT6L	-0.197532682	-0.387207711
CNOT7	-0.585974692	-0.592063745
CNOT8	-0.462544652	-0.822887107
CNP	-0.272784105	0.317393295
CNPY1	-0.632830536	-0.574563689
CNPY2	-0.279543842	-0.856899374
CNPY3	-0.16450976	-0.798486406
CNPY4	-0.474992882	0.797288788
CNR1	-0.38039117	-0.352123622
CNR2	-0.154958785	-0.435352367
CNRIP1	-0.436083628	-1.019065252
CNST	-0.42400318	-0.735788178
CNTD1	0.15232398	0.20161135
CNTD2	-0.281990581	-1.263730771
CNTF	0.183517853	-0.334188702
CNTFR	-0.363070274	-1.311057703
CNTLN	0.599720677	0.112541288
CNTN1	-0.465810093	-1.643852979
CNTN2	-0.211857401	-0.231344804
CNTN3	-0.258073431	-0.65163214
CNTN4	-0.361547376	-0.201457055
CNTN5	-0.019652587	-0.352984069
CNTN6	0.223520855	-1.289806934
CNTNAP1	-0.310001536	-0.83302096
CNTNAP2	-0.105785675	0.605862702
CNTNAP3	-0.427985076	0.177555187
CNTNAP4	-0.285222818	-0.351828239
CNTNAP5	0.132495684	-1.314463774
CNTROB	-0.050705688	-0.037504347
COASY	-0.445020043	-0.520408834
COBL	-0.149501097	-0.199278818
COBLL1	0.164784354	-0.568876676
COCH	-0.612877961	-0.956142668
COG1	-0.745806969	-1.571020233
COG2	-0.482920477	-2.210742495
COG3	-1.287000177	-3.740956605
COG4	-1.609583058	-1.568763478
COG5	-0.452305447	-0.779837847
COG6	-0.847002476	0.819541199
COG7	-2.288343032	-3.241974308
